timestamp;accel-x;accel-y;accel-z
1464094536697;2.2889972;-0.04321594;9.528834
1464094536731;2.3216987;0.03044696;9.5209675
1464094536765;2.353835;0.08998746;9.512697
1464094536799;2.3937619;0.14388764;9.502065
1464094536833;2.4395714;0.19095473;9.489576
1464094536868;2.483426;0.22981952;9.477331
1464094536901;2.5134306;0.26197037;9.468584
1464094536935;2.5199535;0.30424997;9.465586
1464094536969;2.5128217;0.35703155;9.465638
1464094537002;2.5069149;0.4119446;9.464974
1464094537037;2.5114462;0.46269342;9.461427
1464094537071;2.5310433;0.50209856;9.454191
1464094537105;2.5728893;0.52951974;9.441393
1464094537140;2.6503296;0.5466562;9.418967
1464094537174;2.7619486;0.56493235;9.385759
1464094537207;2.9122627;0.6077236;9.337528
1464094537243;3.0889916;0.70128417;9.273961
1464094537277;3.2685666;0.8720299;9.197613
1464094537310;3.457196;1.153718;9.0970745
1464094537345;3.6705456;1.5025175;8.961561
1464094537379;3.9494488;1.8941672;8.76664
1464094537413;4.3009214;2.2660735;8.50923
1464094537447;4.717746;2.5540726;8.201194
1464094537481;5.1704884;2.6792793;7.882103
1464094537514;5.586862;2.682774;7.591424
1464094537547;5.9896383;2.6680026;7.283272
1464094537581;6.3717513;2.689044;6.9433312
1464094537626;6.723461;2.7719858;6.5689564
1464094537662;7.1048408;2.9325404;6.079595
1464094537695;7.374609;3.0700042;5.6771674
1464094537730;7.574229;3.1807826;5.343569
1464094537763;7.7364373;3.229199;5.075412
1464094537797;7.8740087;3.2250154;4.862022
1464094537832;7.9661117;3.207275;4.7217035
1464094537866;8.005089;3.2136676;4.6509066
1464094537900;7.995914;3.2470639;4.643484
1464094537935;7.9662023;3.2849426;4.667845
1464094537969;7.920479;3.336767;4.7087193
1464094538003;7.8602657;3.4023104;4.7624063
1464094538036;7.794389;3.4731555;4.819203
1464094538070;7.73303;3.5402937;4.86894
1464094538104;7.6768165;3.609855;4.906675
1464094538138;7.6078205;3.694355;4.951045
1464094538172;7.539063;3.8141422;4.9653673
1464094538206;7.4858823;3.9956493;4.9026904
1464094538239;7.4609985;4.2514343;4.7221627
1464094538273;7.47437;4.5829716;4.3783784
1464094538307;7.515903;4.9463773;3.8838851
1464094538341;7.5487447;5.315643;3.2864
1464094538376;7.5173435;5.7232947;2.6025896
1464094538410;7.3597646;6.204043;1.8394974
1464094538444;6.9962864;6.794606;0.9619404
1464094538480;6.4060373;7.4161572;0.057533443
1464094538513;5.5638523;8.011101;-0.95174074
1464094538547;4.6901155;8.40082;-1.862538
1464094538582;3.7712798;8.623471;-2.7300549
1464094538616;2.831644;8.696991;-3.519112
1464094538650;1.8608726;8.659235;-4.1946173
1464094538684;0.80551994;8.539234;-4.7405305
1464094538717;-0.26885867;8.323877;-5.165345
1464094538752;-1.3324674;8.001766;-5.498751
1464094538785;-2.3813772;7.5608373;-5.762187
1464094538819;-3.3865793;7.0109715;-5.95125
1464094538853;-4.354638;6.3923287;-6.017913
1464094538887;-5.2216315;5.7856903;-5.941411
1464094538921;-5.997058;5.1864114;-5.7599006
1464094538955;-6.702089;4.5593824;-5.507635
1464094538989;-7.3368635;3.877681;-5.2128716
1464094539023;-7.885372;3.152502;-4.8910766
1464094539057;-8.325133;2.463658;-4.5456095
