timestamp;accel-x;accel-y;accel-z
1464097567448;-9.1140995;1.4624541;-3.2915752
1464097567482;-9.112312;1.4726716;-3.291961
1464097567517;-9.110737;1.4828997;-3.2917302
1464097567551;-9.1109915;1.4916112;-3.287091
1464097567585;-9.111221;1.50033;-3.282483
1464097567619;-9.111453;1.5077039;-3.278451
1464097567653;-9.111682;1.5143887;-3.2747345
1464097567686;-9.111914;1.5211289;-3.2709641
1464097567720;-9.112195;1.5278913;-3.267032
1464097567754;-9.112545;1.5344995;-3.2629588
1464097567788;-9.114216;1.5378734;-3.256688
1464097567823;-9.1163225;1.5401889;-3.2496881
1464097567857;-9.118792;1.5410119;-3.2423663
1464097567891;-9.122129;1.538589;-3.2341137
1464097567925;-9.125488;1.5361882;-3.2257683
1464097567959;-9.129181;1.5315503;-3.2175205
1464097567993;-9.132898;1.5266612;-3.2092793
1464097568027;-9.136534;1.5215138;-3.2013662
1464097568061;-9.140027;1.5160692;-3.1939697
1464097568095;-9.143539;1.5105661;-3.1865163
1464097568128;-9.146304;1.5054953;-3.1809776
1464097568162;-9.149078;1.5003562;-3.175418
1464097568196;-9.151188;1.4957398;-3.171518
1464097568230;-9.152697;1.4915494;-3.1691382
1464097568264;-9.154059;1.4875989;-3.1670625
1464097568298;-9.15348;1.4868442;-3.1690862
1464097568332;-9.152895;1.4860715;-3.1711395
1464097568366;-9.152035;1.4851099;-3.174072
1464097568400;-9.151054;1.4840106;-3.177409
1464097568434;-9.149989;1.4829849;-3.1809578
1464097568468;-9.148164;1.4827805;-3.186294
1464097568504;-9.146385;1.482517;-3.191515
1464097568537;-9.144217;1.4826958;-3.197642
1464097568570;-9.141928;1.4830521;-3.204025
1464097568604;-9.139509;1.4832693;-3.2108154
1464097568639;-9.136838;1.4830568;-3.2185025
1464097568674;-9.134174;1.4828395;-3.2261527
1464097568708;-9.132037;1.4799533;-3.2335188
1464097568742;-9.1300125;1.4765946;-3.2407658
1464097568776;-9.12839;1.4712551;-3.247751
1464097568810;-9.12775;1.4634447;-3.2530904
1464097568844;-9.127029;1.4557612;-3.258543
1464097568878;-9.127714;1.4435623;-3.2620566
1464097568912;-9.128481;1.4310334;-3.2654266
1464097568947;-9.129483;1.4170973;-3.2687008
1464097568980;-9.130674;1.4021238;-3.2718258
1464097569014;-9.131821;1.3870791;-3.275043
1464097569048;-9.132008;1.3731272;-3.2803953
1464097569082;-9.132115;1.359273;-3.285865
1464097569116;-9.131692;1.3460495;-3.2924721
1464097569150;-9.130935;1.3330784;-3.299842
1464097569184;-9.130072;1.3202727;-3.3073664
1464097569219;-9.128561;1.3083507;-3.3162625
1464097569253;-9.127013;1.2960327;-3.3253512
1464097569287;-9.123754;1.286259;-3.3380668
1464097569321;-9.11964;1.2770281;-3.3528175
1464097569355;-9.115378;1.2689643;-3.3674362
1464097569389;-9.110113;1.2631124;-3.383843
1464097569424;-9.104899;1.2575499;-3.3999126
1464097569459;-9.099712;1.2519749;-3.4158225
1464097569493;-9.094775;1.2467867;-3.4308333
1464097569527;-9.09;1.2426856;-3.4449527
1464097569561;-9.085438;1.2399607;-3.4579396
1464097569595;-9.080892;1.2372439;-3.470829
1464097569629;-9.0769615;1.2369407;-3.4811952
1464097569663;-9.073151;1.2366743;-3.4912143
1464097569697;-9.069874;1.2357117;-3.5000587
1464097569731;-9.067339;1.2341696;-3.507162
1464097569765;-9.064953;1.2323501;-3.5139654
1464097569799;-9.064039;1.2282963;-3.51774
1464097569833;-9.063061;1.2243587;-3.5216343
1464097569867;-9.06215;1.2205875;-3.5252817
1464097569901;-9.061277;1.2169133;-3.5287995
1464097569935;-9.06064;1.213022;-3.5317693
1464097569969;-9.061116;1.2079359;-3.5322902
1464097570003;-9.061595;1.2028558;-3.5327995
1464097570037;-9.062828;1.1976869;-3.5313902
1464097570071;-9.064329;1.1924671;-3.5292985
1464097570105;-9.066021;1.1877229;-3.5265589
1464097570139;-9.068168;1.1842841;-3.5221932
1464097570173;-9.070349;1.1807607;-3.5177493
1464097570208;-9.073309;1.1773237;-3.511263
1464097570242;-9.0764;1.1739259;-3.504409
1464097570276;-9.079852;1.1694876;-3.496946
1464097570310;-9.083768;1.1634805;-3.488766
1464097570344;-9.087872;1.1571515;-3.4801712
1464097570378;-9.091701;1.1510497;-3.4721868
1464097570412;-9.095461;1.1450467;-3.4643219
1464097570446;-9.098907;1.1401961;-3.4568598
1464097570480;-9.101949;1.1366738;-3.4500017
1464097570514;-9.104959;1.1332188;-3.4431942
1464097570548;-9.107002;1.131998;-3.438183
1464097570582;-9.109043;1.1307514;-3.4331837
1464097570615;-9.110661;1.1315966;-3.4286122
1464097570649;-9.11199;1.1339167;-3.424305
1464097570683;-9.113088;1.136501;-3.4205267
1464097570717;-9.112652;1.1409853;-3.4201982
1464097570751;-9.112228;1.1454573;-3.4198315
1464097570785;-9.111801;1.1505736;-3.4192522
1464097570819;-9.111373;1.1560668;-3.41854
1464097570853;-9.111168;1.1611925;-3.4173522
1464097570887;-9.111731;1.1650162;-3.4145448
1464097570921;-9.112353;1.1687347;-3.411608
1464097570955;-9.114308;1.1696775;-3.4060578
1464097570989;-9.116689;1.1697617;-3.3996546
1464097571022;-9.119603;1.1687107;-3.3921926
1464097571056;-9.123819;1.1649449;-3.3821332
1464097571090;-9.128025;1.1612077;-3.372055
1464097571124;-9.132791;1.1557719;-3.3610072
1464097571159;-9.13766;1.1499627;-3.3497424
1464097571192;-9.142159;1.1449053;-3.33919
1464097571226;-9.146069;1.1411353;-3.3297517
1464097571260;-9.150184;1.1370769;-3.3198225
1464097571294;-9.151965;1.1385243;-3.3144083
1464097571328;-9.1536045;1.1402644;-3.3092782
1464097571362;-9.153813;1.1450554;-3.3070474
1464097571396;-9.152456;1.1531631;-3.3079855
1464097571430;-9.151026;1.1613624;-3.3090742
1464097571464;-9.146721;1.1740812;-3.3164828
1464097571498;-9.142452;1.1866767;-3.3237643
1464097571532;-9.137827;1.1998307;-3.3317525
1464097571566;-9.133053;1.2129986;-3.340058
1464097571600;-9.128318;1.2260234;-3.3482418
1464097571634;-9.12466;1.236411;-3.3543806
1464097571668;-9.120965;1.2468014;-3.3605766
1464097571702;-9.11882;1.2544236;-3.363567
1464097571736;-9.117395;1.260818;-3.3650396
1464097571770;-9.116626;1.2667276;-3.364898
1464097571804;-9.118216;1.2708095;-3.35905
1464097571838;-9.119755;1.2749381;-3.353302
1464097571872;-9.121292;1.2793751;-3.3474247
1464097571905;-9.122826;1.2838734;-3.341518
1464097571939;-9.124452;1.2881615;-3.335423
1464097571973;-9.12625;1.2919501;-3.3290324
1464097572007;-9.128014;1.2957662;-3.3227007
1464097572043;-9.1283245;1.3015964;-3.3195734
1464097572077;-9.128339;1.307697;-3.3171372
1464097572111;-9.128231;1.3136545;-3.3150733
1464097572145;-9.12802;1.3187288;-3.313648
1464097572179;-9.12779;1.32416;-3.3121095
1464097572213;-9.126019;1.3295025;-3.3148475
1464097572247;-9.124182;1.334922;-3.3177264
1464097572281;-9.122578;1.3413649;-3.3195438
1464097572314;-9.121175;1.3487003;-3.3204277
1464097572349;-9.119875;1.3559225;-3.3210495
1464097572382;-9.119861;1.3611819;-3.318942
1464097572417;-9.119791;1.3665856;-3.3169088
1464097572450;-9.120464;1.370171;-3.313574
1464097572484;-9.121584;1.3727797;-3.3094087
1464097572518;-9.122421;1.3750957;-3.306131
1464097572552;-9.122028;1.3760345;-3.306829
1464097572586;-9.121662;1.3769445;-3.3074584
1464097572620;-9.121221;1.3773738;-3.3085043
1464097572654;-9.120773;1.37759;-3.309642
1464097572688;-9.12035;1.3775911;-3.3108115
1464097572722;-9.119879;1.3770374;-3.3123405
1464097572755;-9.119408;1.3764895;-3.3138633
1464097572789;-9.119149;1.375035;-3.315179
1464097572823;-9.118947;1.3733433;-3.3164387
1464097572857;-9.118901;1.371424;-3.3173573
1464097572891;-9.119176;1.3690758;-3.3175743
1464097572925;-9.119485;1.3666201;-3.3177378
1464097572958;-9.1198635;1.3645097;-3.317564
1464097572992;-9.120271;1.362419;-3.3173003
1464097573026;-9.121346;1.3593028;-3.3156242
1464097573061;-9.12338;1.3547297;-3.311902
1464097573095;-9.125425;1.3501056;-3.3081496
1464097573129;-9.128366;1.3442101;-3.3024354
1464097573163;-9.131303;1.3383367;-3.2966912
1464097573197;-9.133758;1.3329324;-3.2920797
1464097573231;-9.135773;1.3279656;-3.2884932
1464097573265;-9.137735;1.3229871;-3.2850425
1464097573299;-9.138803;1.3189379;-3.2837014
1464097573333;-9.139871;1.314852;-3.2823758
1464097573368;-9.138815;1.3120961;-3.286413
1464097573400;-9.136437;1.3102024;-3.2937691
1464097573434;-9.412129;1.2317584;-2.4361026
1464097573468;-9.141922;1.3145243;-3.276784
1464097573502;-9.107368;1.3218358;-3.3687696
1464097573536;-9.098175;1.3285024;-3.3909147
1464097573570;-9.090272;1.3338016;-3.4099803
1464097573603;-9.084198;1.3372859;-3.4247687
1464097573637;-9.084347;1.3347123;-3.425377
1464097573671;-9.084499;1.3320749;-3.426
1464097573705;-9.085409;1.326344;-3.4258118
1464097573739;-9.086555;1.319609;-3.4253676
1464097573773;-9.087776;1.3129419;-3.424696
1464097573807;-9.089179;1.3063442;-3.4234908
1464097573841;-9.090673;1.2994456;-3.4221492
1464097573875;-9.091585;1.2944572;-3.421614
1464097573909;-9.09246;1.2896452;-3.42111
1464097573944;-9.0933485;1.2857515;-3.420221
1464097573979;-9.094253;1.28311;-3.418807
1464097574013;-9.095154;1.2805411;-3.417369
1464097574047;-9.095694;1.2805129;-3.4159434
1464097574082;-9.096241;1.2805411;-3.4144752
1464097574117;-9.096627;1.2811532;-3.4132195
1464097574151;-9.096876;1.2822443;-3.4121394
1464097574185;-9.097259;1.2830831;-3.410807
1464097574219;-9.098716;1.2817158;-3.4074323
1464097574253;-9.100066;1.2805235;-3.4042704
1464097574287;-9.10225;1.2774913;-3.3995752
1464097574321;-9.104739;1.2737815;-3.394295
1464097574354;-9.107199;1.2700099;-3.3891065
1464097574388;-9.109669;1.265803;-3.3840346
1464097574422;-9.112142;1.2616096;-3.3789377
1464097574456;-9.11362;1.2587444;-3.3760202
1464097574490;-9.114853;1.2561865;-3.3736439
