timestamp;accel-x;accel-y;accel-z
1464280125495;-7.5861;-5.9861965;1.6298815
1464280125528;-7.6907725;-5.842073;1.6619867
1464280125562;-7.669734;-5.8898287;1.589057
1464280125596;-7.5309157;-6.041608;1.6805558
1464280125629;-7.441195;-6.122063;1.7857703
1464280125663;-7.4838176;-6.0971165;1.6904615
1464280125696;-7.5050483;-6.08976;1.6214415
1464280125730;-7.56821;-5.904489;1.9746463
1464280125764;-7.7144284;-5.6763425;2.0752678
1464280125797;-8.033229;-5.323879;1.7786335
1464280125831;-8.372716;-4.8770814;1.4668797
1464280125864;-8.633921;-4.4533625;1.2895622
1464280125898;-8.868266;-4.0189824;1.1143068
1464280125931;-9.069358;-3.5866091;0.9607054
1464280125965;-9.258847;-3.1481538;0.6347108
1464280125998;-9.473104;-2.4951787;0.27273464
1464280126032;-9.621538;-1.8563976;-0.14069597
1464280126066;-9.645676;-1.5787839;-0.7130125
1464280126100;-9.562045;-1.4819685;-1.552766
1464280126133;-9.448732;-1.2469643;-2.2817807
1464280126167;-9.294501;-1.091046;-2.908933
1464280126201;-9.3021;-0.8545009;-2.9632366
1464280126234;-9.27114;-0.47479242;-3.1401472
1464280126269;-9.303097;0.058716882;-3.0804152
1464280126302;-9.375259;0.3350877;-2.8341136
1464280126336;-9.492199;0.51316243;-2.382191
1464280126370;-9.632415;0.80414927;-1.6155256
1464280126404;-9.716607;1.0937015;-0.65678084
1464280126437;-9.718965;1.1620768;0.48095027
1464280126471;-9.597069;0.90462875;1.7657671
1464280126504;-9.367296;0.24669607;2.8693008
1464280126538;-9.104814;-0.7406244;3.5487804
1464280126574;-8.870359;-1.9331541;3.6904783
1464280126605;-8.752499;-2.7483234;3.4468074
1464280126638;-8.859027;-2.8009076;3.1164987
1464280126672;-8.934303;-3.1596518;2.4969647
1464280126706;-9.0832205;-3.3435066;1.5349411
1464280126739;-9.071797;-3.5927353;0.9136138
1464280126773;-8.950611;-3.9493814;0.57353944
1464280126806;-8.916346;-4.0497856;0.37146702
1464280126840;-9.008058;-3.823112;0.52793705
1464280126875;-9.101947;-3.5659952;0.6915354
1464280126907;-9.1759615;-3.3583293;0.7505654
1464280126940;-9.252345;-3.1554964;0.6906303
1464280126974;-9.336188;-2.9379249;0.49415267
1464280127008;-9.400087;-2.7660213;0.16575204
1464280127041;-9.428521;-2.6640353;-0.21424878
1464280127075;-9.427614;-2.6128228;-0.5772866
1464280127109;-9.4671135;-2.4334822;-0.7013613
1464280127143;-9.495988;-2.220413;-0.96746475
1464280127176;-9.542257;-1.7698373;-1.3612465
1464280127213;-9.524606;-1.6962479;-1.5635384
1464280127246;-9.578018;-1.4379464;-1.4946169
1464280127280;-9.605563;-1.1464351;-1.5680665
1464280127313;-9.620947;-0.82651544;-1.6716017
1464280127347;-9.627816;-0.59609544;-1.7291211
1464280127381;-9.636177;-0.40047178;-1.7388848
1464280127414;-9.6253395;-0.24218896;-1.8259747
1464280127448;-9.553164;-0.09582112;-2.1835456
1464280127481;-9.439806;-0.06914995;-2.6315928
1464280127515;-9.379916;-0.16170931;-2.833906
1464280127548;-9.360183;-0.26402125;-2.8908918
1464280127582;-9.370562;-0.21780288;-2.8609679
1464280127616;-9.387772;-0.095797755;-2.8107932
1464280127649;-9.404329;0.01949519;-2.7564852
