timestamp;accel-x;accel-y;accel-z
1464530440528;6.337611;6.943271;2.7686973
1464530440576;6.111246;6.9378457;3.2494571
1464530440610;5.8086834;6.8755665;3.8763108
1464530440644;5.650687;6.857718;4.1329713
1464530440678;5.2969513;6.7064433;4.796451
1464530440726;5.072424;6.5581865;5.225008
1464530440777;4.720317;6.264322;5.8751087
1464530440827;4.2485337;5.7802453;6.6767316
1464530440863;3.7218347;5.1736736;7.444532
1464530440898;3.426583;4.6621523;7.909672
1464530440941;3.1998415;4.1034;8.304405
1464530440975;3.0038238;3.254092;8.742307
1464530441010;2.9029152;2.8843913;8.904683
1464530441059;2.5750859;2.144218;9.209304
1464530441094;2.3697677;1.4373308;9.399909
1464530441143;2.3329618;0.9831668;9.467349
1464530441177;2.2705922;0.43014827;9.523624
1464530441211;2.2299733;0.11528301;9.54222
1464530441244;2.218151;-0.04069369;9.545583
1464530441278;2.2380576;-0.21907394;9.53851
1464530441326;2.2381516;-0.21877955;9.538493
1464530441376;2.2392042;-0.14592157;9.539638
1464530441427;2.2941573;-0.031525254;9.527638
1464530441477;2.342291;0.06919902;9.515719
1464530441526;2.3987951;0.14981535;9.500703
1464530441575;2.4658768;0.21337931;9.482298
1464530441610;2.512485;0.26067945;9.468869
1464530441646;2.516969;0.28513563;9.466976
1464530441678;2.5128417;0.35692874;9.465636
1464530441727;2.5069141;0.41198957;9.464972
1464530441776;2.5190272;0.48047128;9.458528
1464530441811;2.5681462;0.52644897;9.442855
1464530441846;2.6409726;0.5449926;9.421693
1464530441890;2.7527845;0.5635614;9.388538
1464530441926;2.9605625;0.6285944;9.320943
1464530441959;3.1326103;0.744468;9.255946
1464530441995;3.2428634;0.84870404;9.208883
1464530442043;3.5176566;1.244407;9.061873
1464530442093;3.8621778;1.7830532;8.828607
1464530442142;4.374625;2.3215024;8.456553
1464530442177;4.9932985;2.637071;8.009547
1464530442212;5.253372;2.6920516;7.82272
1464530442246;5.865176;2.668616;7.3836465
1464530442280;6.255491;2.6562572;7.060677
1464530442323;6.6120806;2.7376807;6.695186
1464530442358;6.96789;2.8726358;6.2639046
1464530442393;7.2828526;3.0237386;5.8186846
1464530442428;7.414435;3.0925462;5.612695
1464530442463;7.686486;3.217389;5.1581364
1464530442497;7.8361473;3.2339718;4.9169364
1464530442542;7.9471335;3.2071552;4.7536564
1464530442577;8.004688;3.2151234;4.65059
1464530442627;7.9944477;3.2494762;4.64432
1464530442678;7.9508104;3.3030815;4.681268
1464530442725;7.861905;3.40055;4.7609587
1464530442760;7.7686462;3.50119;4.8404355
1464530442794;7.732775;3.5406108;4.8691134
1464530442828;7.6484427;3.644695;4.925194
1464530442873;7.574231;3.7399945;4.968249
1464530442910;7.4911394;3.9521198;4.9298687
1464530442944;7.47265;4.0964713;4.839261
1464530442978;7.473909;4.5338116;4.430043
1464530443024;7.509427;4.8724327;3.9884734
1464530443060;7.551843;5.413036;3.1158824
1464530443095;7.5287457;5.663058;2.6995912
1464530443129;7.265556;6.3838053;1.5807391
1464530443177;6.8409395;6.981863;0.7036642
1464530443225;5.843994;7.8408046;-0.6399419
1464530443260;4.598051;8.431149;-1.9528611
1464530443296;3.6608443;8.638802;-2.8300765
1464530443330;2.7349288;8.698476;-3.591197
1464530443374;1.7326097;8.649686;-4.2686067
1464530443409;0.33682525;8.454745;-4.94407
1464530443442;-0.31761608;8.311788;-5.182019
1464530443477;-1.8268062;7.8109565;-5.6295414
1464530443526;-2.9042807;7.2890515;-5.8715334
1464530443575;-4.324276;6.4135876;-6.0171876
1464530443610;-5.536319;5.5436153;-5.887064
1464530443644;-5.9560323;5.2195373;-5.7725325
1464530443677;-6.9559603;4.301648;-5.3991156
1464530443712;-7.5651026;3.5915413;-5.0901947
1464530443746;-8.060785;2.892109;-4.764394
1464530443779;-8.461781;2.2206752;-4.4166636
1464530443826;-8.7338705;1.6815618;-4.1148353
1464530443877;-8.929893;1.1897072;-3.8576734
1464530443926;-9.175937;1.7144126;-2.9837847
1464530443961;-8.9593;1.0699872;-3.824404
1464530443996;-8.95749;1.0799623;-3.8258464
1464530444043;-8.961215;1.1008757;-3.8111296
1464530444078;-8.962685;1.1219895;-3.8015058
1464530444128;-8.982272;1.1348011;-3.7511368
1464530444163;-8.990941;1.1738989;-3.7181911
1464530444208;-9.00313;1.2152971;-3.67515
1464530444242;-9.009167;1.255267;-3.6468112
1464530444278;-9.024542;1.2700852;-3.6034067
1464530444315;-9.040019;1.2866422;-3.5584571
1464530444359;-9.065219;1.291352;-3.4920237
1464530444394;-9.087343;1.2896949;-3.4346647
1464530444431;-9.093637;1.2849056;-3.4197664
1464530444476;-9.085339;1.2461051;-3.4559865
1464530444511;-9.071979;1.1913731;-3.5099676
1464530444548;-9.057789;1.1651102;-3.5551357
1464530444595;-9.037094;1.140275;-3.615346
1464530444644;-9.0152;1.123819;-3.6746752
1464530444692;-8.991037;1.1339442;-3.730342
1464530444727;-8.960241;1.1958072;-3.7847245
1464530444760;-8.933249;1.2372818;-3.8348677
1464530444796;-8.886505;1.3401814;-3.9081917
1464530444830;-8.846706;1.4236109;-3.968515
1464530444879;-8.793043;1.5360854;-4.0451016
1464530444926;-8.707985;1.7390206;-4.1457024
1464530444977;-8.554049;2.1184552;-4.2872376
1464530445025;-8.185459;2.8272746;-4.587459
1464530445060;-7.577997;3.6869035;-5.0020733
1464530445094;-7.3336697;3.9760795;-5.1427703
1464530445128;-6.6517563;4.728283;-5.425632
1464530445177;-6.0625067;5.31461;-5.571439
1464530445226;-4.972949;6.180976;-5.7537246
1464530445276;-3.6764152;6.9504914;-5.849329
1464530445327;-2.3098915;7.6257267;-5.705498
1464530445375;-0.8706017;8.181666;-5.3237586
1464530445411;0.5476211;8.575006;-4.7126846
1464530445445;1.2256525;8.720465;-4.3001475
1464530445480;2.3924258;8.871232;-3.4084525
1464530445515;3.195488;8.865175;-2.6902673
1464530445559;3.8143246;8.811778;-1.9604832
1464530445595;4.7526336;8.537454;-0.75124025
1464530445629;5.377579;8.192512;0.06635549
1464530445677;5.877987;7.8008785;0.7972297
1464530445725;6.254411;7.410832;1.4148878
1464530445760;6.4139576;7.2001066;1.7491729
1464530445794;6.463597;7.1214647;1.8832597
1464530445844;6.561739;6.9438753;2.1831615
1464530445892;6.5847425;6.862712;2.3631277
1464530445928;6.5416813;6.8841825;2.419602
1464530445976;6.5556645;6.8811283;2.3902614
1464530446025;6.577943;6.8573556;2.3973656
1464530446060;6.615385;6.816547;2.4106798
1464530446093;6.6287994;6.8053966;2.4053278
1464530446127;6.645383;6.790157;2.4026375
1464530446176;6.637629;6.7912474;2.4209194
1464530446210;6.6385202;6.787136;2.429987
