timestamp;accel.x;accel.y;accel.z
1464530705790;0.7155974;-15.471525;0.50680727
1464530705823;-2.203516;-12.130293;-2.0581818
1464530705858;-0.63374615;-13.440809;1.9152453
1464530705893;-1.0885427;-13.061899;2.4061208
1464530705929;-1.6678627;-13.417347;2.6032884
1464530705963;-2.1268163;-14.235859;2.625798
1464530706006;-2.4899902;-14.985008;2.6347992
1464530706041;-3.117742;-15.0149555;2.6705582
1464530706084;-2.5562513;-12.481488;6.802487
1464530706119;0.2341752;-11.5644865;0.06434369
1464530706154;-0.31484842;-9.549276;0.5413237
1464530706188;-0.89875937;-7.3333125;2.1636062
1464530706222;-1.1595916;-6.4824514;4.6374497
1464530706257;-0.95530444;-5.8361425;6.064866
1464530706292;5.166064;-3.6075091;11.952222
1464530706326;3.542605;-4.597047;6.917357
1464530706366;3.0203395;-7.0618515;2.3322139
1464530706399;1.0272553;-8.130727;2.4585116
1464530706433;4.245356;-7.4355316;4.768653
1464530706467;4.185832;-6.7766895;4.498364
1464530706501;2.9318054;-6.418726;4.657198
1464530706536;6.931151;-8.5475;0.11713022
1464530706574;9.574859;-8.144815;-3.2345986
1464530706608;4.727259;-6.7241526;-2.8519566
1464530706643;1.493795;-6.213352;-2.1573534
1464530706680;-0.85508704;-5.667383;0.28651738
1464530706716;-3.6844919;-4.552039;1.7191511
1464530706757;-4.5348544;-5.0926948;2.0335376
1464530706792;-4.5299435;-5.6452703;1.2681777
1464530706827;-3.9496562;-7.1612916;1.5561489
1464530706861;-4.429733;-7.9118814;1.4309123
1464530706896;-4.4425488;-9.382289;2.4313393
1464530706930;-4.9100237;-10.18001;3.045433
1464530706964;-5.200799;-11.089944;3.753076
1464530707000;1.5909176;-9.625065;12.409212
1464530707033;-0.73905945;-10.4424925;5.0549164
1464530707068;-1.7274859;-11.480452;2.1061096
1464530707103;-2.9659135;-11.880871;-0.36620736
1464530707138;-3.8637815;-12.341515;-1.2816206
1464530707173;-4.8971953;-13.701998;-0.8170464
1464530707207;6.501026;-16.068066;3.7334592
1464530707242;-4.123905;-13.293439;4.2079954
1464530707276;-6.0259314;-11.117322;4.9934063
1464530707316;-6.242523;-10.671781;5.254551
1464530707351;-5.933341;-10.0317135;5.6838613
1464530707385;-5.320547;-10.158799;4.793636
1464530707419;-5.073708;-10.089158;4.974095
1464530707453;-5.096968;-10.592447;5.325427
1464530707488;-5.0312376;-10.496752;5.3048186
1464530707524;-5.5113916;-10.119615;6.0095
1464530707559;-5.2671595;-9.8672;5.881837
