timestamp;x_accel;y_accel;z_accel
1464540686000;0.38;-1.004;-0.524
1464540686000;0.384;-1.0;-0.508
1464540686000;0.388;-0.988;-0.508
1464540686000;0.384;-1.008;-0.504
1464540686000;0.38;-1.0;-0.516
1464540686000;0.38;-1.004;-0.524
1464540686000;0.372;-0.988;-0.524
1464540686000;0.364;-1.004;-0.516
1464540686000;0.364;-1.008;-0.512
1464540686000;0.38;-1.004;-0.512
1464540686000;0.384;-1.0;-0.516
1464540686000;0.344;-1.088;-0.524
1464540686000;0.208;-1.324;-0.628
1464540686000;0.156;-1.448;-0.724
1464540686000;0.172;-1.472;-0.808
1464540686000;0.152;-1.608;-0.928
1464540686000;0.168;-1.56;-0.856
1464540686000;0.164;-1.432;-0.772
1464540686000;0.152;-1.052;-0.532
1464540687000;0.152;-0.972;-0.46
1464540687000;0.164;-0.932;-0.42
1464540687000;0.244;-0.624;-0.264
1464540687000;0.264;-0.564;-0.204
1464540687000;0.296;-0.552;-0.144
1464540687000;0.316;-0.404;-0.052
1464540687000;0.336;-0.244;0.024
1464540687000;0.368;-0.108;0.108
1464540687000;0.312;0.24;0.156
1464540687000;0.284;0.448;0.252
1464540687000;0.304;0.696;0.572
1464540687000;0.32;0.912;0.644
1464540687000;0.376;1.172;0.724
1464540687000;0.524;1.352;0.696
1464540687000;0.572;1.46;0.628
1464540687000;0.668;1.68;0.648
1464540687000;0.832;1.832;0.76
1464540687000;0.832;1.792;0.804
1464540687000;0.824;1.804;0.804
1464540687000;0.724;1.604;0.616
1464540687000;0.68;1.336;0.496
1464540687000;0.644;1.06;0.368
1464540687000;0.596;0.556;0.132
1464540687000;0.576;0.36;0.06
1464540687000;0.58;0.184;0.012
1464540687000;0.496;-0.096;-0.076
1464540687000;0.448;-0.24;-0.104
1464540687000;0.36;-0.46;-0.128
1464540687000;0.32;-0.528;-0.128
1464540687000;0.28;-0.616;-0.156
1464540687000;0.2;-0.792;-0.252
1464540687000;0.16;-0.912;-0.324
1464540687000;0.136;-1.024;-0.36
1464540687000;0.044;-1.572;-0.552
1464540687000;0.048;-1.908;-0.696
1464540687000;0.044;-2.048;-0.808
1464540687000;0.044;-2.048;-0.796
1464540688000;0.048;-1.796;-0.724
1464540688000;0.068;-1.604;-0.624
